n,x,y,f,obj,rel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
49,7,1,1,800,0.199,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50,8,1,1,920,0.229,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
51,8,2,1,1020,0.254,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
52,8,3,1,790,0.197,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
53,8,4,1,890,0.222,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
54,8,5,1,1010,0.252,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
55,8,6,1,1110,0.276,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
56,8,7,1,1100,0.274,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
57,8,8,1,1200,0.299,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
58,7,8,1,1320,0.329,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
59,6,8,1,1420,0.354,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
60,5,8,1,1190,0.296,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
61,4,8,1,1290,0.321,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
62,3,8,1,1410,0.351,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
63,2,8,1,1510,0.376,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
64,1,8,1,205,0.051,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,1,9,1,305,0.076,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,2,9,1,425,0.106,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
67,3,9,1,525,0.131,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
68,4,9,1,295,0.073,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
69,5,9,1,395,0.098,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
70,6,9,1,515,0.128,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
71,7,9,1,615,0.153,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
72,8,9,1,605,0.151,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
73,9,9,1,705,0.176,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
74,9,8,1,825,0.205,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
75,9,7,1,925,0.230,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
76,9,6,1,695,0.173,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
77,9,5,1,795,0.198,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
78,9,4,1,915,0.228,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
79,9,3,1,1015,0.253,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
80,9,2,1,505,0.126,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
81,9,1,1,605,0.151,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
82,10,1,1,725,0.181,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
83,10,2,1,825,0.205,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
84,10,3,1,595,0.148,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
85,10,4,1,695,0.173,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
86,10,5,1,815,0.203,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
87,10,6,1,915,0.228,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
88,10,7,1,905,0.225,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
89,10,8,1,1005,0.250,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
90,10,9,1,1125,0.280,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
91,10,10,1,1225,0.305,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
92,9,10,1,995,0.248,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
93,8,10,1,1095,0.273,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
94,7,10,1,1215,0.303,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
95,6,10,1,1315,0.328,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
96,5,10,1,605,0.151,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
97,4,10,1,705,0.176,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
98,3,10,1,825,0.205,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
99,2,10,1,925,0.230,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
100,1,10,1,695,0.173,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
101,1,11,1,795,0.198,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
102,2,11,1,915,0.228,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
103,3,11,1,1015,0.253,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
104,4,11,1,1005,0.250,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
105,5,11,1,1105,0.275,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
106,6,11,1,1225,0.305,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
107,7,11,1,1325,0.330,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
108,8,11,1,1095,0.273,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
109,9,11,1,1195,0.298,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
110,10,11,1,1315,0.328,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
111,11,11,1,1415,0.352,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
112,11,10,1,905,0.225,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
113,11,9,1,1005,0.250,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
114,11,8,1,1125,0.280,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
115,11,7,1,1225,0.305,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
116,11,6,1,995,0.248,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
117,11,5,1,1095,0.273,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
118,11,4,1,1215,0.303,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
119,11,3,1,1315,0.328,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
120,11,2,1,1305,0.325,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
121,11,1,1,1405,0.350,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
122,12,1,1,1525,0.380,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
123,12,2,1,1625,0.405,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
124,12,3,1,1395,0.347,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
125,12,4,1,1495,0.372,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
126,12,5,1,1615,0.402,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
127,12,6,1,1715,0.427,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
128,12,7,1,120,0.030,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,12,8,1,220,0.055,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,12,9,1,340,0.085,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
131,12,10,1,440,0.110,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
132,12,11,1,210,0.052,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
133,12,12,1,310,0.077,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
134,11,12,1,430,0.107,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
135,10,12,1,530,0.132,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
136,9,12,1,520,0.130,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
137,8,12,1,620,0.154,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
138,7,12,1,740,0.184,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
139,6,12,1,840,0.209,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
140,5,12,1,610,0.152,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
141,4,12,1,710,0.177,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
142,3,12,1,830,0.207,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
143,2,12,1,930,0.232,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
144,1,12,1,420,0.105,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
145,1,13,1,520,0.130,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
146,2,13,1,640,0.159,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
147,3,13,1,740,0.184,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
148,4,13,1,510,0.127,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
149,5,13,1,610,0.152,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
150,6,13,1,730,0.182,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
151,7,13,1,830,0.207,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
152,8,13,1,820,0.204,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
153,9,13,1,920,0.229,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
154,10,13,1,1040,0.259,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
155,11,13,1,1140,0.284,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
156,12,13,1,910,0.227,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
157,13,13,1,1010,0.252,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
158,13,12,1,1130,0.281,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
159,13,11,1,1230,0.306,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
160,13,10,1,520,0.130,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
161,13,9,1,620,0.154,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
162,13,8,1,740,0.184,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
163,13,7,1,840,0.209,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
164,13,6,1,610,0.152,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
165,13,5,1,710,0.177,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
166,13,4,1,830,0.207,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
167,13,3,1,930,0.232,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
168,13,2,1,920,0.229,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
169,13,1,1,1020,0.254,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
170,14,1,1,1140,0.284,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
171,14,2,1,1240,0.309,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
172,14,3,1,1010,0.252,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
173,14,4,1,1110,0.276,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
174,14,5,1,1230,0.306,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
175,14,6,1,1330,0.331,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
176,14,7,1,820,0.204,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
177,14,8,1,920,0.229,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
178,14,9,1,1040,0.259,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
179,14,10,1,1140,0.284,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
180,14,11,1,910,0.227,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
181,14,12,1,1010,0.252,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
182,14,13,1,1130,0.281,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
183,14,14,1,1230,0.306,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
184,13,14,1,1220,0.304,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
185,12,14,1,1320,0.329,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
186,11,14,1,1440,0.359,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
187,10,14,1,1540,0.384,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
188,9,14,1,1310,0.326,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
189,8,14,1,1410,0.351,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
190,7,14,1,1530,0.381,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
191,6,14,1,1630,0.406,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
192,5,14,1,325,0.081,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
193,4,14,1,425,0.106,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
194,3,14,1,545,0.136,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
195,2,14,1,645,0.161,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
196,1,14,1,415,0.103,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
197,1,15,1,515,0.128,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
198,2,15,1,635,0.158,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
199,3,15,1,735,0.183,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
200,4,15,1,725,0.181,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
201,5,15,1,825,0.205,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
202,6,15,1,945,0.235,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
203,7,15,1,1045,0.260,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
204,8,15,1,815,0.203,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
205,9,15,1,915,0.228,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
206,10,15,1,1035,0.258,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
207,11,15,1,1135,0.283,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
208,12,15,1,625,0.156,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
209,13,15,1,725,0.181,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
210,14,15,1,845,0.210,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
211,15,15,1,945,0.235,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
212,15,14,1,715,0.178,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
213,15,13,1,815,0.203,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
214,15,12,1,935,0.233,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
215,15,11,1,1035,0.258,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
216,15,10,1,1025,0.255,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
217,15,9,1,1125,0.280,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
218,15,8,1,1245,0.310,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
219,15,7,1,1345,0.335,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
220,15,6,1,1115,0.278,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
221,15,5,1,1215,0.303,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0
222,15,4,1,1335,0.333,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
223,15,3,1,1435,0.357,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
224,15,2,1,725,0.181,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
225,15,1,1,825,0.205,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
226,16,1,1,945,0.235,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
227,16,2,1,1045,0.260,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
228,16,3,1,815,0.203,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
229,16,4,1,915,0.228,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
230,16,5,1,1035,0.258,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
231,16,6,1,1135,0.283,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
232,16,7,1,1125,0.280,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
233,16,8,1,1225,0.305,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
234,16,9,1,1345,0.335,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
235,16,10,1,1445,0.360,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
236,16,11,1,1215,0.303,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
237,16,12,1,1315,0.328,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
238,16,13,1,1435,0.357,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
239,16,14,1,1535,0.382,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
240,16,15,1,1025,0.255,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
241,16,16,1,1125,0.280,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
242,15,16,1,1245,0.310,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
243,14,16,1,1345,0.335,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
244,13,16,1,1115,0.278,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
245,12,16,1,1215,0.303,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
246,11,16,1,1335,0.333,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
247,10,16,1,1435,0.357,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
248,9,16,1,1425,0.355,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
249,8,16,1,1525,0.380,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
250,7,16,1,1645,0.410,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
251,6,16,1,1745,0.435,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
252,5,16,1,1515,0.377,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
253,4,16,1,1615,0.402,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
254,3,16,1,1735,0.432,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
255,2,16,1,1835,0.457,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
256,1,16,1,160,0.040,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
257,1,17,1,260,0.065,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
258,2,17,1,380,0.095,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
259,3,17,1,480,0.120,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
260,4,17,1,250,0.062,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
261,5,17,1,350,0.087,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
262,6,17,1,470,0.117,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
263,7,17,1,570,0.142,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
264,8,17,1,560,0.139,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
265,9,17,1,660,0.164,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
266,10,17,1,780,0.194,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
267,11,17,1,880,0.219,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
268,12,17,1,650,0.162,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
269,13,17,1,750,0.187,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
270,14,17,1,870,0.217,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
271,15,17,1,970,0.242,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
272,16,17,1,460,0.115,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
273,17,17,1,560,0.139,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
274,17,16,1,680,0.169,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
275,17,15,1,780,0.194,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
276,17,14,1,550,0.137,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
277,17,13,1,650,0.162,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
278,17,12,1,770,0.192,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
279,17,11,1,870,0.217,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
280,17,10,1,860,0.214,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
281,17,9,1,960,0.239,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
282,17,8,1,1080,0.269,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
283,17,7,1,1180,0.294,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
284,17,6,1,950,0.237,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
285,17,5,1,1050,0.262,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
286,17,4,1,1170,0.291,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
287,17,3,1,1270,0.316,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
288,17,2,1,560,0.139,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
289,17,1,1,660,0.164,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
290,18,1,1,780,0.194,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
291,18,2,1,880,0.219,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
292,18,3,1,650,0.162,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
293,18,4,1,750,0.187,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
294,18,5,1,870,0.217,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
295,18,6,1,970,0.242,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
296,18,7,1,960,0.239,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
297,18,8,1,1060,0.264,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
298,18,9,1,1180,0.294,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
299,18,10,1,1280,0.319,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
300,18,11,1,1050,0.262,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
301,18,12,1,1150,0.286,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
302,18,13,1,1270,0.316,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
303,18,14,1,1370,0.341,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
304,18,15,1,860,0.214,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
305,18,16,1,960,0.239,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
306,18,17,1,1080,0.269,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
307,18,18,1,1180,0.294,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
308,17,18,1,950,0.237,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
309,16,18,1,1050,0.262,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
310,15,18,1,1170,0.291,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
311,14,18,1,1270,0.316,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
312,13,18,1,1260,0.314,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
