n,f,obj,rel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
132,1,210,0.052,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
133,1,310,0.077,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
134,1,430,0.107,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
135,1,530,0.132,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
136,1,520,0.130,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
137,1,620,0.154,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
138,1,740,0.184,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
139,1,840,0.209,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
140,1,610,0.152,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
141,1,710,0.177,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
142,1,830,0.207,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
143,1,930,0.232,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
144,1,420,0.105,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
145,1,520,0.130,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
146,1,640,0.159,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
147,1,740,0.184,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
148,1,510,0.127,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
149,1,610,0.152,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
150,1,730,0.182,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
151,1,830,0.207,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
152,1,820,0.204,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
153,1,920,0.229,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
154,1,1040,0.259,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
155,1,1140,0.284,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
156,1,910,0.227,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
157,1,1010,0.252,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
158,1,1130,0.281,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
159,1,1230,0.306,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
160,1,520,0.130,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
161,1,620,0.154,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
162,1,740,0.184,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
163,1,840,0.209,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
164,1,610,0.152,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
165,1,710,0.177,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
166,1,830,0.207,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
167,1,930,0.232,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
168,1,920,0.229,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
169,1,1020,0.254,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
170,1,1140,0.284,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
171,1,1240,0.309,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
172,1,1010,0.252,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
173,1,1110,0.276,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
174,1,1230,0.306,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
175,1,1330,0.331,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
176,1,820,0.204,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
177,1,920,0.229,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
178,1,1040,0.259,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
179,1,1140,0.284,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
180,1,910,0.227,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
181,1,1010,0.252,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
182,1,1130,0.281,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
183,1,1230,0.306,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
184,1,1220,0.304,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
185,1,1320,0.329,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
186,1,1440,0.359,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
187,1,1540,0.384,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
188,1,1310,0.326,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
189,1,1410,0.351,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
190,1,1530,0.381,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
191,1,1630,0.406,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
192,1,325,0.081,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
193,1,425,0.106,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
194,1,545,0.136,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
195,1,645,0.161,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
196,1,415,0.103,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
197,1,515,0.128,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
198,1,635,0.158,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
199,1,735,0.183,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
200,1,725,0.181,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
201,1,825,0.205,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
202,1,945,0.235,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
203,1,1045,0.260,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
204,1,815,0.203,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
205,1,915,0.228,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
206,1,1035,0.258,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
207,1,1135,0.283,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
208,1,625,0.156,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
209,1,725,0.181,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
210,1,845,0.210,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
211,1,945,0.235,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
212,1,715,0.178,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
213,1,815,0.203,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
214,1,935,0.233,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
215,1,1035,0.258,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
216,1,1025,0.255,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
217,1,1125,0.280,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
218,1,1245,0.310,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
219,1,1345,0.335,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
220,1,1115,0.278,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
221,1,1215,0.303,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0
222,1,1335,0.333,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
223,1,1435,0.357,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
224,1,725,0.181,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
225,1,825,0.205,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
226,1,945,0.235,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
227,1,1045,0.260,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
228,1,815,0.203,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
229,1,915,0.228,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
230,1,1035,0.258,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
231,1,1135,0.283,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
232,1,1125,0.280,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
233,1,1225,0.305,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
234,1,1345,0.335,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
235,1,1445,0.360,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
236,1,1215,0.303,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
237,1,1315,0.328,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
238,1,1435,0.357,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
239,1,1535,0.382,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
240,1,1025,0.255,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
241,1,1125,0.280,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
242,1,1245,0.310,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
243,1,1345,0.335,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
244,1,1115,0.278,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
245,1,1215,0.303,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
246,1,1335,0.333,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
247,1,1435,0.357,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
248,1,1425,0.355,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
249,1,1525,0.380,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
250,1,1645,0.410,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
251,1,1745,0.435,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
252,1,1515,0.377,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
253,1,1615,0.402,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
254,1,1735,0.432,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
255,1,1835,0.457,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
256,1,160,0.040,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
257,1,260,0.065,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
258,1,380,0.095,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
259,1,480,0.120,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
260,1,250,0.062,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
261,1,350,0.087,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
262,1,470,0.117,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
263,1,570,0.142,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
264,1,560,0.139,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
265,1,660,0.164,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
266,1,780,0.194,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
267,1,880,0.219,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
268,1,650,0.162,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
269,1,750,0.187,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
270,1,870,0.217,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
271,1,970,0.242,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
272,1,460,0.115,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
273,1,560,0.139,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
274,1,680,0.169,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
275,1,780,0.194,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
276,1,550,0.137,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
277,1,650,0.162,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
278,1,770,0.192,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
279,1,870,0.217,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
280,1,860,0.214,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
281,1,960,0.239,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
282,1,1080,0.269,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
283,1,1180,0.294,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
284,1,950,0.237,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
285,1,1050,0.262,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
286,1,1170,0.291,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
287,1,1270,0.316,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
288,1,560,0.139,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
289,1,660,0.164,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
290,1,780,0.194,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
291,1,880,0.219,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
292,1,650,0.162,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
293,1,750,0.187,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
294,1,870,0.217,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
295,1,970,0.242,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
296,1,960,0.239,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
297,1,1060,0.264,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
298,1,1180,0.294,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
299,1,1280,0.319,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
300,1,1050,0.262,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
301,1,1150,0.286,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
302,1,1270,0.316,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
303,1,1370,0.341,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
304,1,860,0.214,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
305,1,960,0.239,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
306,1,1080,0.269,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
307,1,1180,0.294,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
308,1,950,0.237,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
309,1,1050,0.262,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
310,1,1170,0.291,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
311,1,1270,0.316,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
312,1,1260,0.314,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
313,1,1360,0.339,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
314,1,1480,0.369,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
315,1,1580,0.394,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
316,1,1350,0.336,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
317,1,1450,0.361,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
318,1,1570,0.391,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
319,1,1670,0.416,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
320,1,365,0.091,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
321,1,465,0.116,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
322,1,585,0.146,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
323,1,685,0.171,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
324,1,455,0.113,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
325,1,555,0.138,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
326,1,675,0.168,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
327,1,775,0.193,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
328,1,765,0.191,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
329,1,865,0.215,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
330,1,985,0.245,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
331,1,1085,0.270,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
332,1,855,0.213,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
333,1,955,0.238,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
334,1,1075,0.268,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
335,1,1175,0.293,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
336,1,665,0.166,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
337,1,765,0.191,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
338,1,885,0.220,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
339,1,985,0.245,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
340,1,755,0.188,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
341,1,855,0.213,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
342,1,975,0.243,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
343,1,1075,0.268,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
