n,x,y,f,rel
503,19,23,1,0.397
504,20,23,1,0.395
505,21,23,1,0.420
506,22,23,1,0.450
507,23,23,1,0.474
508,23,22,1,0.417
509,23,21,1,0.442
510,23,20,1,0.472
511,23,19,1,0.497
512,23,18,1,0.144
513,23,17,1,0.169
514,23,16,1,0.199
515,23,15,1,0.224
516,23,14,1,0.167
517,23,13,1,0.192
518,23,12,1,0.222
519,23,11,1,0.247
520,23,10,1,0.244
521,23,9,1,0.269
522,23,8,1,0.299
523,23,7,1,0.324
524,23,6,1,0.267
525,23,5,1,0.291
526,23,4,1,0.321
527,23,3,1,0.346
528,23,2,1,0.219
529,23,1,1,0.244
530,24,1,1,0.274
531,24,2,1,0.299
532,24,3,1,0.242
533,24,4,1,0.267
534,24,5,1,0.296
535,24,6,1,0.321
536,24,7,1,0.319
537,24,8,1,0.344
538,24,9,1,0.374
539,24,10,1,0.399
540,24,11,1,0.341
541,24,12,1,0.366
542,24,13,1,0.396
543,24,14,1,0.421
544,24,15,1,0.244
545,24,16,1,0.269
546,24,17,1,0.299
547,24,18,1,0.324
548,24,19,1,0.267
549,24,20,1,0.291
550,24,21,1,0.321
551,24,22,1,0.346
552,24,23,1,0.344
553,24,24,1,0.369
554,23,24,1,0.399
555,22,24,1,0.423
556,21,24,1,0.366
557,20,24,1,0.391
558,19,24,1,0.421
559,18,24,1,0.446
560,17,24,1,0.319
561,16,24,1,0.344
562,15,24,1,0.374
563,14,24,1,0.399
564,13,24,1,0.341
565,12,24,1,0.366
566,11,24,1,0.396
567,10,24,1,0.421
568,9,24,1,0.418
569,8,24,1,0.443
570,7,24,1,0.473
571,6,24,1,0.498
572,5,24,1,0.441
573,4,24,1,0.466
574,3,24,1,0.496
575,2,24,1,0.521
576,1,24,1,0.196
577,1,25,1,0.220
578,2,25,1,0.250
579,3,25,1,0.275
580,4,25,1,0.218
581,5,25,1,0.243
582,6,25,1,0.273
583,7,25,1,0.298
584,8,25,1,0.295
585,9,25,1,0.320
586,10,25,1,0.350
587,11,25,1,0.375
588,12,25,1,0.318
589,13,25,1,0.342
590,14,25,1,0.372
591,15,25,1,0.397
592,16,25,1,0.270
593,17,25,1,0.295
594,18,25,1,0.325
595,19,25,1,0.350
596,20,25,1,0.293
597,21,25,1,0.318
598,22,25,1,0.347
599,23,25,1,0.372
600,24,25,1,0.370
601,25,25,1,0.395
602,25,24,1,0.425
603,25,23,1,0.450
604,25,22,1,0.392
605,25,21,1,0.417
606,25,20,1,0.447
607,25,19,1,0.472
608,25,18,1,0.295
609,25,17,1,0.320
610,25,16,1,0.350
611,25,15,1,0.375
612,25,14,1,0.318
613,25,13,1,0.342
614,25,12,1,0.372
615,25,11,1,0.397
616,25,10,1,0.395
617,25,9,1,0.420
618,25,8,1,0.450
619,25,7,1,0.474
620,25,6,1,0.417
621,25,5,1,0.442
622,25,4,1,0.472
623,25,3,1,0.497
624,25,2,1,0.370
625,25,1,1,0.395
626,26,1,1,0.425
627,26,2,1,0.450
628,26,3,1,0.392
629,26,4,1,0.417
630,26,5,1,0.447
631,26,6,1,0.472
632,26,7,1,0.469
633,26,8,1,0.494
634,26,9,1,0.524
635,26,10,1,0.549
636,26,11,1,0.492
637,26,12,1,0.517
638,26,13,1,0.547
639,26,14,1,0.572
640,26,15,1,0.174
641,26,16,1,0.199
642,26,17,1,0.229
643,26,18,1,0.254
644,26,19,1,0.197
645,26,20,1,0.222
646,26,21,1,0.252
647,26,22,1,0.276
648,26,23,1,0.274
649,26,24,1,0.299
650,26,25,1,0.329
651,26,26,1,0.354
652,25,26,1,0.296
653,24,26,1,0.321
654,23,26,1,0.351
655,22,26,1,0.376
656,21,26,1,0.249
657,20,26,1,0.274
658,19,26,1,0.304
659,18,26,1,0.329
660,17,26,1,0.271
661,16,26,1,0.296
662,15,26,1,0.326
663,14,26,1,0.351
664,13,26,1,0.349
665,12,26,1,0.374
666,11,26,1,0.403
667,10,26,1,0.428
668,9,26,1,0.371
669,8,26,1,0.396
670,7,26,1,0.426
671,6,26,1,0.451
672,5,26,1,0.274
673,4,26,1,0.299
674,3,26,1,0.329
675,2,26,1,0.354
676,1,26,1,0.296
677,1,27,1,0.321
678,2,27,1,0.351
679,3,27,1,0.376
680,4,27,1,0.374
681,5,27,1,0.399
682,6,27,1,0.428
683,7,27,1,0.453
684,8,27,1,0.396
685,9,27,1,0.421
686,10,27,1,0.451
687,11,27,1,0.476
688,12,27,1,0.349
689,13,27,1,0.374
690,14,27,1,0.403
691,15,27,1,0.428
692,16,27,1,0.371
693,17,27,1,0.396
694,18,27,1,0.426
695,19,27,1,0.451
696,20,27,1,0.448
697,21,27,1,0.473
698,22,27,1,0.503
699,23,27,1,0.528
700,24,27,1,0.471
701,25,27,1,0.496
702,26,27,1,0.526
703,27,27,1,0.550
704,27,26,1,0.225
705,27,25,1,0.250
706,27,24,1,0.280
707,27,23,1,0.305
708,27,22,1,0.248
709,27,21,1,0.273
710,27,20,1,0.303
711,27,19,1,0.328
712,27,18,1,0.325
713,27,17,1,0.350
714,27,16,1,0.380
715,27,15,1,0.405
716,27,14,1,0.347
717,27,13,1,0.372
718,27,12,1,0.402
719,27,11,1,0.427
720,27,10,1,0.300
721,27,9,1,0.325
722,27,8,1,0.355
723,27,7,1,0.380
724,27,6,1,0.323
725,27,5,1,0.347
726,27,4,1,0.377
727,27,3,1,0.402
728,27,2,1,0.400
729,27,1,1,0.425
730,28,1,1,0.455
731,28,2,1,0.479
732,28,3,1,0.422
733,28,4,1,0.447
734,28,5,1,0.477
735,28,6,1,0.502
736,28,7,1,0.325
737,28,8,1,0.350
738,28,9,1,0.380
739,28,10,1,0.405
740,28,11,1,0.347
741,28,12,1,0.372
742,28,13,1,0.402
743,28,14,1,0.427
744,28,15,1,0.425
745,28,16,1,0.450
746,28,17,1,0.479
747,28,18,1,0.504
748,28,19,1,0.447
749,28,20,1,0.472
750,28,21,1,0.502
751,28,22,1,0.527
752,28,23,1,0.400
753,28,24,1,0.425
754,28,25,1,0.455
755,28,26,1,0.479
756,28,27,1,0.422
757,28,28,1,0.447
758,27,28,1,0.477
759,26,28,1,0.502
760,25,28,1,0.499
761,24,28,1,0.524
762,23,28,1,0.554
763,22,28,1,0.579
764,21,28,1,0.522
765,20,28,1,0.547
766,19,28,1,0.577
767,18,28,1,0.601
768,17,28,1,0.184
769,16,28,1,0.209
770,15,28,1,0.239
771,14,28,1,0.264
772,13,28,1,0.207
773,12,28,1,0.232
774,11,28,1,0.262
775,10,28,1,0.286
776,9,28,1,0.284
777,8,28,1,0.309
778,7,28,1,0.339
779,6,28,1,0.364
780,5,28,1,0.306
781,4,28,1,0.331
782,3,28,1,0.361
783,2,28,1,0.386
784,1,28,1,0.259
785,1,29,1,0.284
786,2,29,1,0.314
787,3,29,1,0.339
788,4,29,1,0.281
789,5,29,1,0.306
790,6,29,1,0.336
791,7,29,1,0.361
792,8,29,1,0.359
793,9,29,1,0.384
794,10,29,1,0.413
795,11,29,1,0.438
796,12,29,1,0.381
797,13,29,1,0.406
798,14,29,1,0.436
799,15,29,1,0.461
800,16,29,1,0.284
801,17,29,1,0.309
802,18,29,1,0.339
803,19,29,1,0.364
804,20,29,1,0.306
805,21,29,1,0.331
806,22,29,1,0.361
807,23,29,1,0.386
808,24,29,1,0.384
809,25,29,1,0.408
810,26,29,1,0.438
811,27,29,1,0.463
812,28,29,1,0.406
813,29,29,1,0.431
814,29,28,1,0.461
815,29,27,1,0.486
816,29,26,1,0.359
817,29,25,1,0.384
818,29,24,1,0.413
819,29,23,1,0.438
820,29,22,1,0.381
821,29,21,1,0.406
822,29,20,1,0.436
823,29,19,1,0.461
824,29,18,1,0.458
825,29,17,1,0.483
826,29,16,1,0.513
827,29,15,1,0.538
828,29,14,1,0.481
829,29,13,1,0.506
830,29,12,1,0.535
831,29,11,1,0.560
832,29,10,1,0.235
833,29,9,1,0.260
834,29,8,1,0.290
835,29,7,1,0.315
836,29,6,1,0.258
837,29,5,1,0.283
838,29,4,1,0.313
839,29,3,1,0.337
840,29,2,1,0.335
841,29,1,1,0.360
842,30,1,1,0.390
843,30,2,1,0.415
844,30,3,1,0.357
845,30,4,1,0.382
846,30,5,1,0.412
847,30,6,1,0.437
848,30,7,1,0.310
849,30,8,1,0.335
850,30,9,1,0.365
851,30,10,1,0.390
852,30,11,1,0.333
853,30,12,1,0.357
854,30,13,1,0.387
855,30,14,1,0.412
856,30,15,1,0.410
857,30,16,1,0.435
858,30,17,1,0.465
859,30,18,1,0.489
860,30,19,1,0.432
861,30,20,1,0.457
862,30,21,1,0.487
863,30,22,1,0.512
864,30,23,1,0.335
865,30,24,1,0.360
866,30,25,1,0.390
867,30,26,1,0.415
868,30,27,1,0.357
869,30,28,1,0.382
870,30,29,1,0.412
871,30,30,1,0.437
872,29,30,1,0.435
873,28,30,1,0.460
874,27,30,1,0.489
875,26,30,1,0.514
876,25,30,1,0.457
877,24,30,1,0.482
878,23,30,1,0.512
879,22,30,1,0.537
880,21,30,1,0.410
881,20,30,1,0.435
882,19,30,1,0.465
883,18,30,1,0.489
884,17,30,1,0.432
885,16,30,1,0.457
886,15,30,1,0.487
887,14,30,1,0.512
888,13,30,1,0.509
889,12,30,1,0.534
890,11,30,1,0.564
891,10,30,1,0.589
892,9,30,1,0.532
893,8,30,1,0.557
894,7,30,1,0.587
895,6,30,1,0.611
896,5,30,1,0.214
897,4,30,1,0.239
898,3,30,1,0.269
899,2,30,1,0.294
900,1,30,1,0.237
901,1,31,1,0.262
902,2,31,1,0.291
903,3,31,1,0.316
904,4,31,1,0.314
905,5,31,1,0.339
906,6,31,1,0.369
907,7,31,1,0.394
908,8,31,1,0.336
909,9,31,1,0.361
910,10,31,1,0.391
911,11,31,1,0.416
912,12,31,1,0.289
913,13,31,1,0.314
914,14,31,1,0.344
915,15,31,1,0.369
916,16,31,1,0.311
917,17,31,1,0.336
918,18,31,1,0.366
919,19,31,1,0.391
920,20,31,1,0.389
921,21,31,1,0.413
922,22,31,1,0.443
923,23,31,1,0.468
924,24,31,1,0.411
925,25,31,1,0.436
926,26,31,1,0.466
927,27,31,1,0.491
928,28,31,1,0.314
929,29,31,1,0.339
930,30,31,1,0.369
931,31,31,1,0.394
932,31,30,1,0.336
933,31,29,1,0.361
934,31,28,1,0.391
935,31,27,1,0.416
936,31,26,1,0.413
937,31,25,1,0.438
938,31,24,1,0.468
939,31,23,1,0.493
940,31,22,1,0.436
941,31,21,1,0.461
942,31,20,1,0.491
943,31,19,1,0.516
944,31,18,1,0.389
945,31,17,1,0.413
946,31,16,1,0.443
947,31,15,1,0.468
948,31,14,1,0.411
949,31,13,1,0.436
950,31,12,1,0.466
951,31,11,1,0.491
952,31,10,1,0.488
953,31,9,1,0.513
954,31,8,1,0.543
955,31,7,1,0.568
956,31,6,1,0.511
957,31,5,1,0.535
958,31,4,1,0.565
959,31,3,1,0.590
960,31,2,1,0.265
961,31,1,1,0.290
962,32,1,1,0.320
963,32,2,1,0.345
964,32,3,1,0.288
965,32,4,1,0.313
966,32,5,1,0.342
967,32,6,1,0.367
968,32,7,1,0.365
969,32,8,1,0.390
970,32,9,1,0.420
971,32,10,1,0.445
972,32,11,1,0.387
973,32,12,1,0.412
974,32,13,1,0.442
975,32,14,1,0.467
976,32,15,1,0.340
977,32,16,1,0.365
978,32,17,1,0.395
979,32,18,1,0.420
980,32,19,1,0.362
981,32,20,1,0.387
982,32,21,1,0.417
983,32,22,1,0.442
984,32,23,1,0.440
985,32,24,1,0.465
986,32,25,1,0.494
987,32,26,1,0.519
988,32,27,1,0.462
989,32,28,1,0.487
990,32,29,1,0.517
991,32,30,1,0.542
992,32,31,1,0.365
993,32,32,1,0.390
994,31,32,1,0.420
995,30,32,1,0.445
996,29,32,1,0.387
997,28,32,1,0.412
998,27,32,1,0.442
999,26,32,1,0.467
1000,25,32,1,0.465
1001,24,32,1,0.489
1002,23,32,1,0.519
1003,22,32,1,0.544
1004,21,32,1,0.487
1005,20,32,1,0.512
1006,19,32,1,0.542
1007,18,32,1,0.567
1008,17,32,1,0.440
1009,16,32,1,0.465
1010,15,32,1,0.494
1011,14,32,1,0.519
1012,13,32,1,0.462
1013,12,32,1,0.487
1014,11,32,1,0.517
1015,10,32,1,0.542
1016,9,32,1,0.539
1017,8,32,1,0.564
1018,7,32,1,0.594
1019,6,32,1,0.619
1020,5,32,1,0.562
1021,4,32,1,0.587
1022,3,32,1,0.616
1023,2,32,1,0.641
1024,1,32,1,0.100
1025,1,33,1,0.125
1026,2,33,1,0.154
1027,3,33,1,0.179
1028,4,33,1,0.122
1029,5,33,1,0.147
1030,6,33,1,0.177
1031,7,33,1,0.202
1032,8,33,1,0.199
1033,9,33,1,0.224
1034,10,33,1,0.254
1035,11,33,1,0.279
1036,12,33,1,0.222
1037,13,33,1,0.247
1038,14,33,1,0.276
1039,15,33,1,0.301
1040,16,33,1,0.174
1041,17,33,1,0.199
1042,18,33,1,0.229
1043,19,33,1,0.254
1044,20,33,1,0.197
1045,21,33,1,0.222
1046,22,33,1,0.252
1047,23,33,1,0.276
1048,24,33,1,0.274
1049,25,33,1,0.299
1050,26,33,1,0.329
1051,27,33,1,0.354
1052,28,33,1,0.296
1053,29,33,1,0.321
1054,30,33,1,0.351
1055,31,33,1,0.376
1056,32,33,1,0.199
1057,33,33,1,0.224
1058,33,32,1,0.254
1059,33,31,1,0.279
1060,33,30,1,0.222
1061,33,29,1,0.247
1062,33,28,1,0.276
1063,33,27,1,0.301
1064,33,26,1,0.299
1065,33,25,1,0.324
1066,33,24,1,0.354
1067,33,23,1,0.379
1068,33,22,1,0.321
1069,33,21,1,0.346
1070,33,20,1,0.376
1071,33,19,1,0.401
1072,33,18,1,0.274
1073,33,17,1,0.299
1074,33,16,1,0.329
1075,33,15,1,0.354
1076,33,14,1,0.296
1077,33,13,1,0.321
1078,33,12,1,0.351
1079,33,11,1,0.376
1080,33,10,1,0.374
1081,33,9,1,0.399
1082,33,8,1,0.428
1083,33,7,1,0.453
1084,33,6,1,0.396
1085,33,5,1,0.421
1086,33,4,1,0.451
1087,33,3,1,0.476
1088,33,2,1,0.151
1089,33,1,1,0.176
1090,34,1,1,0.205
1091,34,2,1,0.230
1092,34,3,1,0.173
1093,34,4,1,0.198
1094,34,5,1,0.228
1095,34,6,1,0.253
1096,34,7,1,0.250
1097,34,8,1,0.275
1098,34,9,1,0.305
1099,34,10,1,0.330
1100,34,11,1,0.273
1101,34,12,1,0.298
1102,34,13,1,0.328
1103,34,14,1,0.352
1104,34,15,1,0.225
1105,34,16,1,0.250
1106,34,17,1,0.280
1107,34,18,1,0.305
1108,34,19,1,0.248
1109,34,20,1,0.273
1110,34,21,1,0.303
1111,34,22,1,0.328
1112,34,23,1,0.325
1113,34,24,1,0.350
1114,34,25,1,0.380
1115,34,26,1,0.405
1116,34,27,1,0.347
1117,34,28,1,0.372
1118,34,29,1,0.402
1119,34,30,1,0.427
1120,34,31,1,0.250
1121,34,32,1,0.275
1122,34,33,1,0.305
1123,34,34,1,0.330
1124,33,34,1,0.273
1125,32,34,1,0.298
1126,31,34,1,0.328
1127,30,34,1,0.352
1128,29,34,1,0.350
1129,28,34,1,0.375
1130,27,34,1,0.405
1131,26,34,1,0.430
1132,25,34,1,0.372
1133,24,34,1,0.397
1134,23,34,1,0.427
1135,22,34,1,0.452
1136,21,34,1,0.325
1137,20,34,1,0.350
1138,19,34,1,0.380
1139,18,34,1,0.405
1140,17,34,1,0.347
1141,16,34,1,0.372
1142,15,34,1,0.402
1143,14,34,1,0.427
1144,13,34,1,0.425
1145,12,34,1,0.450
1146,11,34,1,0.479
1147,10,34,1,0.504
1148,9,34,1,0.447
1149,8,34,1,0.472
1150,7,34,1,0.502
1151,6,34,0,0.527
1152,5,34,1,0.130
