n,x,y,f,rel
998,27,32,0,0.933
999,26,32,0,1.002
1000,25,32,0,1.133
1001,24,32,0,1.201
1002,23,32,0,1.168
1003,22,32,0,1.237
1004,21,32,0,1.339
1005,20,32,0,1.408
1006,19,32,0,1.375
1007,18,32,0,1.444
1008,17,32,1,0.692
1009,16,32,1,0.761
1010,15,32,1,0.728
1011,14,32,1,0.797
1012,13,32,0,0.899
1013,12,32,0,0.968
1014,11,32,0,0.935
1015,10,32,0,1.004
1016,9,32,0,1.135
1017,8,32,0,1.204
1018,7,32,0,1.170
1019,6,32,0,1.239
1020,5,32,0,1.341
1021,4,32,0,1.410
1022,3,32,0,1.377
1023,2,32,0,1.446
1024,1,32,1,0.000
