n,x,y,f,obj,rel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
134,11,12,1,63105,0.725,0,1,1,0,0,0,0,1,0,0
135,10,12,1,69106,0.794,1,1,1,0,0,0,0,1,0,0
136,9,12,1,80500,0.925,0,0,0,1,0,0,0,1,0,0
137,8,12,1,86501,0.994,1,0,0,1,0,0,0,1,0,0
138,7,12,1,83605,0.960,0,1,0,1,0,0,0,1,0,0
139,6,12,0,89606,1.029,1,1,0,1,0,0,0,1,0,0
140,5,12,0,98500,1.131,0,0,1,1,0,0,0,1,0,0
141,4,12,0,104501,1.200,1,0,1,1,0,0,0,1,0,0
142,3,12,0,101605,1.167,0,1,1,1,0,0,0,1,0,0
143,2,12,0,107606,1.236,1,1,1,1,0,0,0,1,0,0
144,1,12,1,42186,0.485,0,0,0,0,1,0,0,1,0,0
145,1,13,1,48187,0.553,1,0,0,0,1,0,0,1,0,0
146,2,13,1,45291,0.520,0,1,0,0,1,0,0,1,0,0
147,3,13,1,51292,0.589,1,1,0,0,1,0,0,1,0,0
148,4,13,1,60186,0.691,0,0,1,0,1,0,0,1,0,0
149,5,13,1,66187,0.760,1,0,1,0,1,0,0,1,0,0
150,6,13,1,63291,0.727,0,1,1,0,1,0,0,1,0,0
151,7,13,1,69292,0.796,1,1,1,0,1,0,0,1,0,0
152,8,13,1,80686,0.927,0,0,0,1,1,0,0,1,0,0
153,9,13,0,86687,0.996,1,0,0,1,1,0,0,1,0,0
154,10,13,1,83791,0.962,0,1,0,1,1,0,0,1,0,0
155,11,13,0,89792,1.031,1,1,0,1,1,0,0,1,0,0
156,12,13,0,98686,1.134,0,0,1,1,1,0,0,1,0,0
157,13,13,0,104687,1.202,1,0,1,1,1,0,0,1,0,0
158,13,12,0,101791,1.169,0,1,1,1,1,0,0,1,0,0
159,13,11,0,107792,1.238,1,1,1,1,1,0,0,1,0,0
160,13,10,1,43987,0.505,0,0,0,0,0,1,0,1,0,0
161,13,9,1,49988,0.574,1,0,0,0,0,1,0,1,0,0
162,13,8,1,47092,0.541,0,1,0,0,0,1,0,1,0,0
163,13,7,1,53093,0.610,1,1,0,0,0,1,0,1,0,0
164,13,6,1,61987,0.712,0,0,1,0,0,1,0,1,0,0
165,13,5,1,67988,0.781,1,0,1,0,0,1,0,1,0,0
166,13,4,1,65092,0.748,0,1,1,0,0,1,0,1,0,0
167,13,3,1,71093,0.817,1,1,1,0,0,1,0,1,0,0
168,13,2,1,82487,0.947,0,0,0,1,0,1,0,1,0,0
169,13,1,0,88488,1.016,1,0,0,1,0,1,0,1,0,0
170,14,1,1,85592,0.983,0,1,0,1,0,1,0,1,0,0
171,14,2,0,91593,1.052,1,1,0,1,0,1,0,1,0,0
172,14,3,0,100487,1.154,0,0,1,1,0,1,0,1,0,0
173,14,4,0,106488,1.223,1,0,1,1,0,1,0,1,0,0
174,14,5,0,103592,1.190,0,1,1,1,0,1,0,1,0,0
175,14,6,0,109593,1.259,1,1,1,1,0,1,0,1,0,0
176,14,7,1,44173,0.507,0,0,0,0,1,1,0,1,0,0
177,14,8,1,50174,0.576,1,0,0,0,1,1,0,1,0,0
178,14,9,1,47278,0.543,0,1,0,0,1,1,0,1,0,0
179,14,10,1,53279,0.612,1,1,0,0,1,1,0,1,0,0
180,14,11,1,62173,0.714,0,0,1,0,1,1,0,1,0,0
181,14,12,1,68174,0.783,1,0,1,0,1,1,0,1,0,0
182,14,13,1,65278,0.750,0,1,1,0,1,1,0,1,0,0
183,14,14,1,71279,0.819,1,1,1,0,1,1,0,1,0,0
184,13,14,1,82673,0.950,0,0,0,1,1,1,0,1,0,0
185,12,14,0,88674,1.019,1,0,0,1,1,1,0,1,0,0
186,11,14,1,85778,0.985,0,1,0,1,1,1,0,1,0,0
187,10,14,0,91779,1.054,1,1,0,1,1,1,0,1,0,0
188,9,14,0,100673,1.156,0,0,1,1,1,1,0,1,0,0
189,8,14,0,106674,1.225,1,0,1,1,1,1,0,1,0,0
190,7,14,0,103778,1.192,0,1,1,1,1,1,0,1,0,0
191,6,14,0,109779,1.261,1,1,1,1,1,1,0,1,0,0
192,5,14,1,50820,0.584,0,0,0,0,0,0,1,1,0,0
193,4,14,1,56821,0.653,1,0,0,0,0,0,1,1,0,0
194,3,14,1,53925,0.619,0,1,0,0,0,0,1,1,0,0
195,2,14,1,59926,0.688,1,1,0,0,0,0,1,1,0,0
196,1,14,1,68820,0.790,0,0,1,0,0,0,1,1,0,0
197,1,15,1,74821,0.859,1,0,1,0,0,0,1,1,0,0
198,2,15,1,71925,0.826,0,1,1,0,0,0,1,1,0,0
199,3,15,1,77926,0.895,1,1,1,0,0,0,1,1,0,0
200,4,15,0,89320,1.026,0,0,0,1,0,0,1,1,0,0
201,5,15,0,95321,1.095,1,0,0,1,0,0,1,1,0,0
202,6,15,0,92425,1.062,0,1,0,1,0,0,1,1,0,0
203,7,15,0,98426,1.131,1,1,0,1,0,0,1,1,0,0
204,8,15,0,107320,1.233,0,0,1,1,0,0,1,1,0,0
205,9,15,0,113321,1.302,1,0,1,1,0,0,1,1,0,0
206,10,15,0,110425,1.268,0,1,1,1,0,0,1,1,0,0
207,11,15,0,116426,1.337,1,1,1,1,0,0,1,1,0,0
208,12,15,1,51006,0.586,0,0,0,0,1,0,1,1,0,0
209,13,15,1,57007,0.655,1,0,0,0,1,0,1,1,0,0
210,14,15,1,54111,0.622,0,1,0,0,1,0,1,1,0,0
211,15,15,1,60112,0.690,1,1,0,0,1,0,1,1,0,0
212,15,14,1,69006,0.793,0,0,1,0,1,0,1,1,0,0
213,15,13,1,75007,0.862,1,0,1,0,1,0,1,1,0,0
214,15,12,1,72111,0.828,0,1,1,0,1,0,1,1,0,0
215,15,11,1,78112,0.897,1,1,1,0,1,0,1,1,0,0
216,15,10,0,89506,1.028,0,0,0,1,1,0,1,1,0,0
217,15,9,0,95507,1.097,1,0,0,1,1,0,1,1,0,0
218,15,8,0,92611,1.064,0,1,0,1,1,0,1,1,0,0
219,15,7,0,98612,1.133,1,1,0,1,1,0,1,1,0,0
220,15,6,0,107506,1.235,0,0,1,1,1,0,1,1,0,0
221,15,5,0,113507,1.304,1,0,1,1,1,0,1,1,0,0
222,15,4,0,110611,1.270,0,1,1,1,1,0,1,1,0,0
223,15,3,0,116612,1.339,1,1,1,1,1,0,1,1,0,0
224,15,2,1,52807,0.607,0,0,0,0,0,1,1,1,0,0
225,15,1,1,58808,0.675,1,0,0,0,0,1,1,1,0,0
226,16,1,1,55912,0.642,0,1,0,0,0,1,1,1,0,0
227,16,2,1,61913,0.711,1,1,0,0,0,1,1,1,0,0
228,16,3,1,70807,0.813,0,0,1,0,0,1,1,1,0,0
229,16,4,1,76808,0.882,1,0,1,0,0,1,1,1,0,0
230,16,5,1,73912,0.849,0,1,1,0,0,1,1,1,0,0
231,16,6,1,79913,0.918,1,1,1,0,0,1,1,1,0,0
232,16,7,0,91307,1.049,0,0,0,1,0,1,1,1,0,0
233,16,8,0,97308,1.118,1,0,0,1,0,1,1,1,0,0
234,16,9,0,94412,1.084,0,1,0,1,0,1,1,1,0,0
235,16,10,0,100413,1.153,1,1,0,1,0,1,1,1,0,0
236,16,11,0,109307,1.256,0,0,1,1,0,1,1,1,0,0
237,16,12,0,115308,1.324,1,0,1,1,0,1,1,1,0,0
238,16,13,0,112412,1.291,0,1,1,1,0,1,1,1,0,0
239,16,14,0,118413,1.360,1,1,1,1,0,1,1,1,0,0
240,16,15,1,52993,0.609,0,0,0,0,1,1,1,1,0,0
241,16,16,1,58994,0.678,1,0,0,0,1,1,1,1,0,0
242,15,16,1,56098,0.644,0,1,0,0,1,1,1,1,0,0
243,14,16,1,62099,0.713,1,1,0,0,1,1,1,1,0,0
244,13,16,1,70993,0.815,0,0,1,0,1,1,1,1,0,0
245,12,16,1,76994,0.884,1,0,1,0,1,1,1,1,0,0
246,11,16,1,74098,0.851,0,1,1,0,1,1,1,1,0,0
247,10,16,1,80099,0.920,1,1,1,0,1,1,1,1,0,0
248,9,16,0,91493,1.051,0,0,0,1,1,1,1,1,0,0
249,8,16,0,97494,1.120,1,0,0,1,1,1,1,1,0,0
250,7,16,0,94598,1.087,0,1,0,1,1,1,1,1,0,0
251,6,16,0,100599,1.156,1,1,0,1,1,1,1,1,0,0
252,5,16,0,109493,1.258,0,0,1,1,1,1,1,1,0,0
253,4,16,0,115494,1.327,1,0,1,1,1,1,1,1,0,0
254,3,16,0,112598,1.293,0,1,1,1,1,1,1,1,0,0
255,2,16,0,118599,1.362,1,1,1,1,1,1,1,1,0,0
256,1,16,1,4025,0.046,0,0,0,0,0,0,0,0,1,0
257,1,17,1,10026,0.115,1,0,0,0,0,0,0,0,1,0
258,2,17,1,7130,0.082,0,1,0,0,0,0,0,0,1,0
259,3,17,1,13131,0.151,1,1,0,0,0,0,0,0,1,0
260,4,17,1,22025,0.253,0,0,1,0,0,0,0,0,1,0
261,5,17,1,28026,0.322,1,0,1,0,0,0,0,0,1,0
262,6,17,1,25130,0.289,0,1,1,0,0,0,0,0,1,0
263,7,17,1,31131,0.358,1,1,1,0,0,0,0,0,1,0
264,8,17,1,42525,0.488,0,0,0,1,0,0,0,0,1,0
265,9,17,1,48526,0.557,1,0,0,1,0,0,0,0,1,0
266,10,17,1,45630,0.524,0,1,0,1,0,0,0,0,1,0
267,11,17,1,51631,0.593,1,1,0,1,0,0,0,0,1,0
268,12,17,1,60525,0.695,0,0,1,1,0,0,0,0,1,0
269,13,17,0,66526,0.764,1,0,1,1,0,0,0,0,1,0
270,14,17,1,63630,0.731,0,1,1,1,0,0,0,0,1,0
271,15,17,0,69631,0.800,1,1,1,1,0,0,0,0,1,0
272,16,17,1,4211,0.048,0,0,0,0,1,0,0,0,1,0
273,17,17,1,10212,0.117,1,0,0,0,1,0,0,0,1,0
274,17,16,1,7316,0.084,0,1,0,0,1,0,0,0,1,0
275,17,15,1,13317,0.153,1,1,0,0,1,0,0,0,1,0
276,17,14,1,22211,0.255,0,0,1,0,1,0,0,0,1,0
277,17,13,1,28212,0.324,1,0,1,0,1,0,0,0,1,0
278,17,12,1,25316,0.291,0,1,1,0,1,0,0,0,1,0
279,17,11,1,31317,0.360,1,1,1,0,1,0,0,0,1,0
280,17,10,1,42711,0.491,0,0,0,1,1,0,0,0,1,0
281,17,9,1,48712,0.560,1,0,0,1,1,0,0,0,1,0
282,17,8,1,45816,0.526,0,1,0,1,1,0,0,0,1,0
283,17,7,1,51817,0.595,1,1,0,1,1,0,0,0,1,0
284,17,6,1,60711,0.697,0,0,1,1,1,0,0,0,1,0
285,17,5,0,66712,0.766,1,0,1,1,1,0,0,0,1,0
286,17,4,1,63816,0.733,0,1,1,1,1,0,0,0,1,0
287,17,3,0,69817,0.802,1,1,1,1,1,0,0,0,1,0
288,17,2,1,6012,0.069,0,0,0,0,0,1,0,0,1,0
289,17,1,1,12013,0.138,1,0,0,0,0,1,0,0,1,0
290,18,1,1,9117,0.105,0,1,0,0,0,1,0,0,1,0
291,18,2,1,15118,0.174,1,1,0,0,0,1,0,0,1,0
292,18,3,1,24012,0.276,0,0,1,0,0,1,0,0,1,0
293,18,4,1,30013,0.345,1,0,1,0,0,1,0,0,1,0
294,18,5,1,27117,0.311,0,1,1,0,0,1,0,0,1,0
295,18,6,1,33118,0.380,1,1,1,0,0,1,0,0,1,0
296,18,7,1,44512,0.511,0,0,0,1,0,1,0,0,1,0
297,18,8,1,50513,0.580,1,0,0,1,0,1,0,0,1,0
298,18,9,1,47617,0.547,0,1,0,1,0,1,0,0,1,0
299,18,10,1,53618,0.616,1,1,0,1,0,1,0,0,1,0
300,18,11,1,62512,0.718,0,0,1,1,0,1,0,0,1,0
301,18,12,0,68513,0.787,1,0,1,1,0,1,0,0,1,0
302,18,13,1,65617,0.754,0,1,1,1,0,1,0,0,1,0
303,18,14,0,71618,0.823,1,1,1,1,0,1,0,0,1,0
304,18,15,1,6198,0.071,0,0,0,0,1,1,0,0,1,0
305,18,16,1,12199,0.140,1,0,0,0,1,1,0,0,1,0
306,18,17,1,9303,0.107,0,1,0,0,1,1,0,0,1,0
307,18,18,1,15304,0.176,1,1,0,0,1,1,0,0,1,0
308,17,18,1,24198,0.278,0,0,1,0,1,1,0,0,1,0
309,16,18,1,30199,0.347,1,0,1,0,1,1,0,0,1,0
310,15,18,1,27303,0.314,0,1,1,0,1,1,0,0,1,0
311,14,18,1,33304,0.383,1,1,1,0,1,1,0,0,1,0
312,13,18,1,44698,0.513,0,0,0,1,1,1,0,0,1,0
313,12,18,1,50699,0.582,1,0,0,1,1,1,0,0,1,0
314,11,18,1,47803,0.549,0,1,0,1,1,1,0,0,1,0
315,10,18,1,53804,0.618,1,1,0,1,1,1,0,0,1,0
316,9,18,1,62698,0.720,0,0,1,1,1,1,0,0,1,0
317,8,18,0,68699,0.789,1,0,1,1,1,1,0,0,1,0
318,7,18,1,65803,0.756,0,1,1,1,1,1,0,0,1,0
319,6,18,0,71804,0.825,1,1,1,1,1,1,0,0,1,0
320,5,18,1,12845,0.148,0,0,0,0,0,0,1,0,1,0
321,4,18,1,18846,0.216,1,0,0,0,0,0,1,0,1,0
322,3,18,1,15950,0.183,0,1,0,0,0,0,1,0,1,0
323,2,18,1,21951,0.252,1,1,0,0,0,0,1,0,1,0
324,1,18,1,30845,0.354,0,0,1,0,0,0,1,0,1,0
325,1,19,1,36846,0.423,1,0,1,0,0,0,1,0,1,0
326,2,19,1,33950,0.390,0,1,1,0,0,0,1,0,1,0
327,3,19,1,39951,0.459,1,1,1,0,0,0,1,0,1,0
328,4,19,1,51345,0.590,0,0,0,1,0,0,1,0,1,0
329,5,19,1,57346,0.659,1,0,0,1,0,0,1,0,1,0
330,6,19,1,54450,0.625,0,1,0,1,0,0,1,0,1,0
331,7,19,1,60451,0.694,1,1,0,1,0,0,1,0,1,0
332,8,19,0,69345,0.797,0,0,1,1,0,0,1,0,1,0
333,9,19,0,75346,0.865,1,0,1,1,0,0,1,0,1,0
334,10,19,0,72450,0.832,0,1,1,1,0,0,1,0,1,0
335,11,19,0,78451,0.901,1,1,1,1,0,0,1,0,1,0
336,12,19,1,13031,0.150,0,0,0,0,1,0,1,0,1,0
337,13,19,1,19032,0.219,1,0,0,0,1,0,1,0,1,0
338,14,19,1,16136,0.185,0,1,0,0,1,0,1,0,1,0
339,15,19,1,22137,0.254,1,1,0,0,1,0,1,0,1,0
340,16,19,1,31031,0.356,0,0,1,0,1,0,1,0,1,0
341,17,19,1,37032,0.425,1,0,1,0,1,0,1,0,1,0
342,18,19,1,34136,0.392,0,1,1,0,1,0,1,0,1,0
343,19,19,1,40137,0.461,1,1,1,0,1,0,1,0,1,0
344,19,18,1,51531,0.592,0,0,0,1,1,0,1,0,1,0
345,19,17,1,57532,0.661,1,0,0,1,1,0,1,0,1,0
346,19,16,1,54636,0.628,0,1,0,1,1,0,1,0,1,0
347,19,15,1,60637,0.696,1,1,0,1,1,0,1,0,1,0
348,19,14,0,69531,0.799,0,0,1,1,1,0,1,0,1,0
349,19,13,0,75532,0.868,1,0,1,1,1,0,1,0,1,0
350,19,12,0,72636,0.834,0,1,1,1,1,0,1,0,1,0
351,19,11,0,78637,0.903,1,1,1,1,1,0,1,0,1,0
352,19,10,1,14832,0.170,0,0,0,0,0,1,1,0,1,0
353,19,9,1,20833,0.239,1,0,0,0,0,1,1,0,1,0
354,19,8,1,17937,0.206,0,1,0,0,0,1,1,0,1,0
355,19,7,1,23938,0.275,1,1,0,0,0,1,1,0,1,0
356,19,6,1,32832,0.377,0,0,1,0,0,1,1,0,1,0
357,19,5,1,38833,0.446,1,0,1,0,0,1,1,0,1,0
358,19,4,1,35937,0.413,0,1,1,0,0,1,1,0,1,0
359,19,3,1,41938,0.482,1,1,1,0,0,1,1,0,1,0
360,19,2,1,53332,0.613,0,0,0,1,0,1,1,0,1,0
361,19,1,1,59333,0.682,1,0,0,1,0,1,1,0,1,0
362,20,1,1,56437,0.648,0,1,0,1,0,1,1,0,1,0
363,20,2,1,62438,0.717,1,1,0,1,0,1,1,0,1,0
364,20,3,0,71332,0.819,0,0,1,1,0,1,1,0,1,0
365,20,4,0,77333,0.888,1,0,1,1,0,1,1,0,1,0
366,20,5,0,74437,0.855,0,1,1,1,0,1,1,0,1,0
367,20,6,0,80438,0.924,1,1,1,1,0,1,1,0,1,0
368,20,7,1,15018,0.172,0,0,0,0,1,1,1,0,1,0
369,20,8,1,21019,0.241,1,0,0,0,1,1,1,0,1,0
370,20,9,1,18123,0.208,0,1,0,0,1,1,1,0,1,0
371,20,10,1,24124,0.277,1,1,0,0,1,1,1,0,1,0
372,20,11,1,33018,0.379,0,0,1,0,1,1,1,0,1,0
373,20,12,1,39019,0.448,1,0,1,0,1,1,1,0,1,0
374,20,13,1,36123,0.415,0,1,1,0,1,1,1,0,1,0
375,20,14,1,42124,0.484,1,1,1,0,1,1,1,0,1,0
376,20,15,1,53518,0.615,0,0,0,1,1,1,1,0,1,0
377,20,16,1,59519,0.684,1,0,0,1,1,1,1,0,1,0
378,20,17,1,56623,0.650,0,1,0,1,1,1,1,0,1,0
379,20,18,1,62624,0.719,1,1,0,1,1,1,1,0,1,0
380,20,19,0,71518,0.821,0,0,1,1,1,1,1,0,1,0
381,20,20,0,77519,0.890,1,0,1,1,1,1,1,0,1,0
382,19,20,0,74623,0.857,0,1,1,1,1,1,1,0,1,0
383,18,20,0,80624,0.926,1,1,1,1,1,1,1,0,1,0
384,17,20,1,46025,0.529,0,0,0,0,0,0,0,1,1,0
385,16,20,1,52026,0.598,1,0,0,0,0,0,0,1,1,0
386,15,20,1,49130,0.564,0,1,0,0,0,0,0,1,1,0
387,14,20,1,55131,0.633,1,1,0,0,0,0,0,1,1,0
388,13,20,1,64025,0.735,0,0,1,0,0,0,0,1,1,0
389,12,20,1,70026,0.804,1,0,1,0,0,0,0,1,1,0
390,11,20,1,67130,0.771,0,1,1,0,0,0,0,1,1,0
391,10,20,1,73131,0.840,1,1,1,0,0,0,0,1,1,0
392,9,20,0,84525,0.971,0,0,0,1,0,0,0,1,1,0
393,8,20,0,90526,1.040,1,0,0,1,0,0,0,1,1,0
394,7,20,0,87630,1.007,0,1,0,1,0,0,0,1,1,0
395,6,20,0,93631,1.075,1,1,0,1,0,0,0,1,1,0
396,5,20,0,102525,1.178,0,0,1,1,0,0,0,1,1,0
397,4,20,0,108526,1.247,1,0,1,1,0,0,0,1,1,0
